isVolatileBlock,magOpt1,magOpt2,trueProbability,opt1Rewarded,opt1Left,playsound
1,20,21,0.2,1,1,0
1,22,19,0.2,1,1,0
1,19,21,0.2,0,1,0
1,20,19,0.2,0,0,0
1,20,17,0.2,0,0,0
1,17,19,0.2,0,0,0
1,17,21,0.2,0,1,0
1,19,22,0.2,0,0,0
1,20,21,0.2,0,0,0
1,20,22,0.2,0,0,0
1,18,22,0.2,0,1,0
1,21,19,0.2,0,1,0
1,19,20,0.2,1,0,0
1,24,19,0.2,0,1,0
1,22,20,0.2,0,0,0
1,15,19,0.2,1,1,0
1,16,21,0.2,0,0,0
1,23,18,0.2,0,0,0
1,24,19,0.2,0,0,0
1,20,16,0.2,0,1,0
1,18,18,0.8,0,1,0
1,22,25,0.8,1,1,0
1,18,17,0.8,1,0,0
1,22,23,0.8,1,0,0
1,21,19,0.8,1,1,0
1,21,19,0.8,1,0,0
1,17,18,0.8,1,1,0
1,18,21,0.8,1,0,0
1,20,21,0.8,1,1,0
1,20,16,0.8,1,1,0
1,16,18,0.8,1,1,0
1,20,19,0.8,1,1,0
1,20,21,0.8,0,1,0
1,18,18,0.8,1,0,0
1,21,20,0.8,1,1,0
1,20,20,0.8,1,0,0
1,20,19,0.8,1,1,0
1,19,17,0.8,1,0,0
1,19,18,0.8,1,1,0
1,20,18,0.8,1,0,0
1,21,18,0.8,1,0,0
1,20,20,0.8,0,1,0
1,22,20,0.8,0,0,0
1,19,18,0.8,1,1,0
1,18,21,0.8,0,1,0
1,18,18,0.8,1,1,0
1,22,19,0.8,1,0,0
1,19,22,0.8,1,1,0
1,19,19,0.8,1,0,0
1,20,22,0.8,1,0,0
1,17,21,0.2,0,0,0
1,19,17,0.2,0,1,0
1,17,18,0.2,0,1,0
1,18,21,0.2,0,0,0
1,21,19,0.2,1,0,0
1,19,23,0.2,0,1,0
1,20,23,0.2,0,0,0
1,21,17,0.2,0,0,0
1,23,21,0.2,0,1,0
1,20,21,0.2,1,1,0
1,19,21,0.2,0,0,0
1,22,23,0.2,0,0,0
1,20,21,0.2,0,1,0
1,20,21,0.2,0,1,0
1,18,19,0.2,1,1,0
1,21,19,0.2,0,0,0
1,22,21,0.2,1,0,0
1,19,17,0.2,0,1,0
1,19,21,0.2,0,0,0
1,20,22,0.2,0,0,0